date,litecoin,trend_relative_diff,trend_log_return
2023-04-01,40,-0.047619047619047616,-0.048790164169432056
2023-04-02,35,-0.125,-0.13353139262452263
2023-04-03,36,0.02857142857142857,0.028170876966696224
2023-04-04,35,-0.027777777777777776,-0.028170876966696335
2023-04-05,41,0.17142857142857143,0.1582240052148942
2023-04-06,37,-0.0975609756097561,-0.10265415406008334
2023-04-07,33,-0.10810810810810811,-0.11441035117774422
2023-04-08,35,0.06060606060606061,0.058840500022933395
2023-04-09,34,-0.02857142857142857,-0.028987536873252298
2023-04-10,36,0.058823529411764705,0.05715841383994862
2023-04-11,43,0.19444444444444445,0.17768117723745241
2023-04-12,39,-0.09302325581395349,-0.09763846956391606
2023-04-13,40,0.02564102564102564,0.025317807984289786
2023-04-14,39,-0.025,-0.025317807984289897
2023-04-15,39,0.0,0.0
2023-04-16,48,0.23076923076923078,0.20763936477824455
2023-04-17,40,-0.16666666666666666,-0.1823215567939546
2023-04-18,47,0.175,0.16126814759612232
2023-04-19,41,-0.1276595744680851,-0.13657553500575073
2023-04-20,39,-0.04878048780487805,-0.05001042057466142
2023-04-21,35,-0.10256410256410256,-0.10821358464023272
2023-04-22,37,0.05714285714285714,0.055569851154810786
2023-04-23,35,-0.05405405405405406,-0.055569851154810765
2023-04-24,36,0.02857142857142857,0.028170876966696224
2023-04-25,38,0.05555555555555555,0.05406722127027579
2023-04-26,37,-0.02631578947368421,-0.026668247082161294
2023-04-27,36,-0.02702702702702703,-0.027398974188114388
2023-04-28,33,-0.08333333333333333,-0.08701137698962981
2023-04-29,34,0.030303030303030304,0.02985296314968113
2023-04-30,32,-0.058823529411764705,-0.060624621816434854
2023-05-01,37,0.15625,0.1451820098444979
2023-05-02,30,-0.1891891891891892,-0.20972053098206903
2023-05-03,30,0.0,0.0
2023-05-04,35,0.16666666666666666,0.15415067982725836
2023-05-05,36,0.02857142857142857,0.028170876966696224
2023-05-06,38,0.05555555555555555,0.05406722127027579
2023-05-07,32,-0.15789473684210525,-0.17185025692665928
2023-05-08,38,0.1875,0.17185025692665923
2023-05-09,40,0.05263157894736842,0.05129329438755048
2023-05-10,39,-0.025,-0.025317807984289897
2023-05-11,37,-0.05128205128205128,-0.05264373348542203
2023-05-12,34,-0.08108108108108109,-0.084557388028063
2023-05-13,30,-0.11764705882352941,-0.12516314295400605
2023-05-14,32,0.06666666666666667,0.06453852113757116
2023-05-15,41,0.28125,0.24783616390458127
2023-05-16,47,0.14634146341463414,0.1365755350057507
2023-05-17,45,-0.0425531914893617,-0.04348511193973878
2023-05-18,43,-0.044444444444444446,-0.04546237407675729
2023-05-19,41,-0.046511627906976744,-0.04762804898925459
2023-05-20,38,-0.07317073170731707,-0.07598590697792199
2023-05-21,42,0.10526315789473684,0.10008345855698263
2023-05-22,37,-0.11904761904761904,-0.1267517056391439
2023-05-23,41,0.10810810810810811,0.10265415406008337
2023-05-24,38,-0.07317073170731707,-0.07598590697792199
2023-05-25,39,0.02631578947368421,0.025975486403260736
2023-05-26,36,-0.07692307692307693,-0.08004270767353637
2023-05-27,36,0.0,0.0
2023-05-28,38,0.05555555555555555,0.05406722127027579
2023-05-29,34,-0.10526315789473684,-0.11122563511022437
2023-05-30,39,0.14705882352941177,0.13720112151348496
2023-05-31,42,0.07692307692307693,0.07410797215372183
2023-06-01,49,0.16666666666666666,0.15415067982725836
2023-06-02,42,-0.14285714285714285,-0.15415067982725836
2023-06-03,45,0.07142857142857142,0.06899287148695142
2023-06-04,43,-0.044444444444444446,-0.04546237407675729
2023-06-05,43,0.0,0.0
2023-06-06,38,-0.11627906976744186,-0.12361395596717664
2023-06-07,39,0.02631578947368421,0.025975486403260736
2023-06-08,32,-0.1794871794871795,-0.19782574332991992
2023-06-09,34,0.0625,0.06062462181643484
2023-06-10,50,0.47058823529411764,0.38566248081198473
2023-06-11,44,-0.12,-0.12783337150988489
2023-06-12,42,-0.045454545454545456,-0.04652001563489282
2023-06-13,37,-0.11904761904761904,-0.1267517056391439
2023-06-14,44,0.1891891891891892,0.17327172127403678
2023-06-15,42,-0.045454545454545456,-0.04652001563489282
2023-06-16,38,-0.09523809523809523,-0.10008345855698253
2023-06-17,38,0.0,0.0
2023-06-18,35,-0.07894736842105263,-0.08223809823697212
2023-06-19,33,-0.05714285714285714,-0.058840500022933465
2023-06-20,39,0.18181818181818182,0.16705408466316624
2023-06-21,46,0.1794871794871795,0.1650797503594486
2023-06-22,44,-0.043478260869565216,-0.04445176257083381
2023-06-23,45,0.022727272727272728,0.022472855852058576
2023-06-24,46,0.022222222222222223,0.021978906718775167
2023-06-25,42,-0.08695652173913043,-0.09097177820572676
2023-06-26,38,-0.09523809523809523,-0.10008345855698253
2023-06-27,40,0.05263157894736842,0.05129329438755048
2023-06-28,39,-0.025,-0.025317807984289897
2023-06-29,39,0.0,0.0
2023-06-30,100,1.564102564102564,0.9416085398584451
2023-07-01,60,-0.25,-0.2876820724517809
2023-07-02,72,0.2,0.1823215567939546
2023-07-03,59,-0.18055555555555555,-0.19912867511033588
2023-07-04,45,-0.23728813559322035,-0.27087495413539975
2023-07-05,44,-0.022222222222222223,-0.02247285585205863
2023-07-06,43,-0.022727272727272728,-0.02298951822469872
2023-07-07,45,0.046511627906976744,0.04546237407675741
2023-07-08,39,-0.13333333333333333,-0.1431008436406733
2023-07-09,42,0.07692307692307693,0.07410797215372183
2023-07-10,40,-0.047619047619047616,-0.048790164169432056
2023-07-11,40,0.0,0.0
2023-07-12,37,-0.075,-0.0779615414697118
2023-07-13,47,0.2702702702702703,0.23922968906583406
2023-07-14,44,-0.06382978723404255,-0.0659579677917974
2023-07-15,38,-0.13636363636363635,-0.1466034741918754
2023-07-16,39,0.02631578947368421,0.025975486403260736
2023-07-17,37,-0.05128205128205128,-0.05264373348542203
2023-07-18,35,-0.05405405405405406,-0.055569851154810765
2023-07-19,41,0.17142857142857143,0.1582240052148942
2023-07-20,42,0.024390243902439025,0.024097551579060524
2023-07-21,38,-0.09523809523809523,-0.10008345855698253
2023-07-22,37,-0.02631578947368421,-0.026668247082161294
2023-07-23,37,0.0,0.0
2023-07-24,42,0.13513513513513514,0.1267517056391438
2023-07-25,40,-0.047619047619047616,-0.048790164169432056
2023-07-26,39,-0.025,-0.025317807984289897
2023-07-27,36,-0.07692307692307693,-0.08004270767353637
2023-07-28,36,0.0,0.0
2023-07-29,40,0.1111111111111111,0.10536051565782635
2023-07-30,50,0.25,0.22314355131420976
2023-07-31,47,-0.06,-0.06187540371808753
2023-08-01,59,0.2553191489361702,0.2273898421956608
2023-08-02,100,0.6949152542372882,0.5276327420823719
2023-08-03,54,-0.46,-0.616186139423817
2023-08-04,45,-0.16666666666666666,-0.1823215567939546
2023-08-05,37,-0.17777777777777778,-0.19574457712609536
2023-08-06,33,-0.10810810810810811,-0.11441035117774422
2023-08-07,30,-0.09090909090909091,-0.0953101798043249
2023-08-08,31,0.03333333333333333,0.03278982282299097
2023-08-09,30,-0.03225806451612903,-0.03278982282299084
2023-08-10,28,-0.06666666666666667,-0.06899287148695143
2023-08-11,27,-0.03571428571428571,-0.03636764417087483
2023-08-12,28,0.037037037037037035,0.03636764417087479
2023-08-13,26,-0.07142857142857142,-0.07410797215372185
2023-08-14,27,0.038461538461538464,0.03774032798284711
2023-08-15,30,0.1111111111111111,0.10536051565782635
2023-08-16,30,0.0,0.0
2023-08-17,32,0.06666666666666667,0.06453852113757116
2023-08-18,36,0.125,0.11778303565638346
2023-08-19,31,-0.1388888888888889,-0.1495317339709637
2023-08-20,32,0.03225806451612903,0.03174869831458027
2023-08-21,37,0.15625,0.1451820098444979
2023-08-22,33,-0.10810810810810811,-0.11441035117774422
2023-08-23,34,0.030303030303030304,0.02985296314968113
2023-08-24,27,-0.20588235294117646,-0.23052365861183238
2023-08-25,25,-0.07407407407407407,-0.07696104113612832
2023-08-26,24,-0.04,-0.040821994520255166
2023-08-27,26,0.08333333333333333,0.08004270767353636
2023-08-28,29,0.11538461538461539,0.109199291964992
2023-08-29,32,0.10344827586206896,0.09844007281325251
2023-08-30,27,-0.15625,-0.16989903679539747
2023-08-31,28,0.037037037037037035,0.03636764417087479
2023-09-01,25,-0.10714285714285714,-0.11332868530700312
2023-09-02,24,-0.04,-0.040821994520255166
2023-09-03,27,0.125,0.11778303565638346
2023-09-04,25,-0.07407407407407407,-0.07696104113612832
2023-09-05,25,0.0,0.0
2023-09-06,23,-0.08,-0.08338160893905101
2023-09-07,25,0.08695652173913043,0.083381608939051
2023-09-08,27,0.08,0.0769610411361284
2023-09-09,20,-0.25925925925925924,-0.30010459245033816
2023-09-10,26,0.3,0.26236426446749106
2023-09-11,30,0.15384615384615385,0.14310084364067324
2023-09-12,27,-0.1,-0.10536051565782628
2023-09-13,27,0.0,0.0
2023-09-14,27,0.0,0.0
2023-09-15,26,-0.037037037037037035,-0.037740327982847086
2023-09-16,28,0.07692307692307693,0.07410797215372183
2023-09-17,24,-0.14285714285714285,-0.15415067982725836
2023-09-18,26,0.08333333333333333,0.08004270767353636
2023-09-19,30,0.15384615384615385,0.14310084364067324
2023-09-20,27,-0.1,-0.10536051565782628
2023-09-21,24,-0.1111111111111111,-0.11778303565638351
2023-09-22,22,-0.08333333333333333,-0.08701137698962981
2023-09-23,25,0.13636363636363635,0.127833371509885
2023-09-24,22,-0.12,-0.12783337150988489
2023-09-25,23,0.045454545454545456,0.044451762570833796
2023-09-26,21,-0.08695652173913043,-0.09097177820572676
