date,ethereum,trend_diff,trend_log_return
2023-11-18,48,-5.0,-0.0990909026442308
2023-11-19,43,-5.0,-0.1100008952143284
2023-11-20,56,13.0,0.2641515750415869
2023-11-21,54,-2.0,-0.0363676441708748
2023-11-22,52,-2.0,-0.037740327982847
2023-11-23,54,2.0,0.0377403279828471
2023-11-24,55,1.0,0.0183491386681966
2023-11-25,48,-7.0,-0.13613217432458
2023-11-26,47,-1.0,-0.0210534091978323
2023-11-27,47,0.0,0.0
2023-11-28,52,5.0,0.1010961168713688
2023-11-29,48,-4.0,-0.0800427076735363
2023-11-30,47,-1.0,-0.0210534091978323
2023-12-01,59,12.0,0.2273898421956608
2023-12-02,61,2.0,0.0333364202675917
2023-12-03,59,-2.0,-0.0333364202675918
2023-12-04,98,39.0,0.5074300347648525
2023-12-05,93,-5.0,-0.0523679855173159
2023-12-06,88,-5.0,-0.0552626786750494
2023-12-07,85,-3.0,-0.0346855579878899
2023-12-08,97,12.0,0.1320597220130663
2023-12-09,77,-20.0,-0.230905556649699
2023-12-10,70,-7.0,-0.0953101798043249
2023-12-11,77,7.0,0.0953101798043249
2023-12-12,62,-15.0,-0.2166710368085922
2023-12-13,63,1.0,0.0160003413464411
2023-12-14,63,0.0,0.0
2023-12-15,57,-6.0,-0.1000834585569825
2023-12-16,55,-2.0,-0.0357180826020792
2023-12-17,50,-5.0,-0.0953101798043249
2023-12-18,52,2.0,0.0392207131532813
2023-12-19,59,7.0,0.126293725324292
2023-12-20,61,2.0,0.0333364202675917
2023-12-21,55,-6.0,-0.1035406789408403
2023-12-22,64,9.0,0.1515498981272008
2023-12-23,54,-10.0,-0.1698990367953974
2023-12-24,54,0.0,0.0
2023-12-25,59,5.0,0.088553397341445
2023-12-26,57,-2.0,-0.0344861760711693
2023-12-27,67,10.0,0.1616413515564159
2023-12-28,75,8.0,0.1127954941453442
2023-12-29,64,-11.0,-0.1586050301766385
2023-12-30,57,-7.0,-0.1158318155251217
2023-12-31,53,-4.0,-0.0727593542824283
2024-01-01,23,3.0,0.1397619423751586
2024-01-02,34,11.0,0.3908663086870116
2024-01-03,30,-4.0,-0.125163142954006
2024-01-04,25,-5.0,-0.1823215567939546
2024-01-05,22,-3.0,-0.1278333715098848
2024-01-06,19,-3.0,-0.1466034741918754
2024-01-07,21,2.0,0.1000834585569826
2024-01-08,25,4.0,0.1743533871447777
2024-01-09,28,3.0,0.1133286853070032
2024-01-10,39,11.0,0.3313571359544424
2024-01-11,59,20.0,0.413975797776073
2024-01-12,45,-14.0,-0.2708749541353997
2024-01-13,32,-13.0,-0.3409265869705932
2024-01-14,31,-1.0,-0.0317486983145803
2024-01-15,29,-2.0,-0.0666913744986722
2024-01-16,29,0.0,0.0
2024-01-17,27,-2.0,-0.0714589639821449
2024-01-18,24,-3.0,-0.1177830356563835
2024-01-19,23,-1.0,-0.0425596144187958
2024-01-20,20,-3.0,-0.1397619423751587
2024-01-21,19,-1.0,-0.0512932943875505
2024-01-22,22,3.0,0.1466034741918754
2024-01-23,25,3.0,0.127833371509885
2024-01-24,21,-4.0,-0.1743533871447778
2024-01-25,20,-1.0,-0.048790164169432
2024-01-26,20,0.0,0.0
2024-01-27,18,-2.0,-0.1053605156578262
2024-01-28,17,-1.0,-0.0571584138399486
2024-01-29,19,2.0,0.1112256351102244
2024-01-30,20,1.0,0.0512932943875504
2024-01-31,21,1.0,0.048790164169432
2024-02-01,18,-3.0,-0.1541506798272583
