date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2019-07-16,10850.26,11025.76,9366.82,9423.44,113537.84,1140137759.72,17821783.5449724,167942507929.03473,-0.1409888404397929,0.2023064264624645,-0.1408752089926985,0.0884519355868864,0.0717182015626271,0.0676669007236391,0.2218207495559685,0.2158703499778047,0.0859883096940945
2019-07-17,9423.44,9982.24,9086.51,9696.15,101032.08,965256823.84,17823446.0449724,172818806368.95914,0.0285286971111195,-0.1166980832572675,0.0286219774754392,0.0862377289014557,0.0722744428031349,0.0674947381454713,-0.0253515315848154,0.0077260058643385,-0.0025475078981974
2019-07-18,9696.15,10776.54,9292.61,10638.35,102443.07,1033842556.65,17824958.5449723,189628147736.90607,0.0927364971958038,0.0138691394725852,0.0928213537282743,0.1046075716877652,0.0756927271669844,0.0692724559489987,0.1931081639000212,0.0462115029426333,0.0259977246943323
2019-07-19,10638.35,10757.41,10135.16,10532.94,62995.33,658190962.53,17826433.5449724,187764754943.1816,-0.0099579072447446,-0.4862466329846074,-0.0098751615277066,0.0907693502246987,0.0746611554399509,0.0692550928789128,-0.1418942600512055,-0.0137221320249289,-0.0002506803927987
2019-07-20,10532.94,11094.32,10379.19,10759.42,56766.57,608954333.23,17828646.0449724,191825890829.19696,0.0212741604796922,-0.1041130005380574,0.0213982662188065,0.0863559647177098,0.075219685972327,0.069195210779396,-0.0498437977659029,0.0074530288532126,-0.0008650339026858
2019-07-21,10759.42,10833.99,10329.89,10586.71,38379.41,405339891.1,17830508.5449724,188766423118.1447,-0.0161822090336354,-0.3914264782503038,-0.0160777477796821,0.0433526286283912,0.0729701116655629,0.0681745805107011,-0.6891105395449091,-0.0303630501733945,-0.0148598762506906
2019-07-22,10586.71,10676.6,10072.07,10325.87,50574.02,524442852.25,17832483.5449723,184135906862.52313,-0.0249470441029342,0.2759168878319357,-0.0248362850282643,0.048073260055081,0.0712614331845113,0.067818688777035,0.1033587597965675,-0.023694656047454,-0.0052339729456492
2019-07-23,10325.87,10328.44,9820.61,9854.15,52754.02,529438124.08,17834271.0449724,175741582017.8148,-0.0467597105478185,0.0422019722798193,-0.0466594771499582,0.0247475415591814,0.0716720578438128,0.0682432331433533,-0.6639999453789892,0.0057456903348245,0.0062404784247947
2019-07-24,9854.15,9920.54,9535.78,9772.14,54750.78,531611909.42,17836008.5449724,174295972542.6666,-0.0083572063102548,0.0371516371872121,-0.008259786271985,0.0248443242435957,0.0637380811101501,0.0681470945864978,0.0039031726562129,-0.1173187587771195,-0.0014097564596832
2019-07-25,9772.14,10184.43,9744.7,9882.43,40285.56,403576364.36,17837883.5449724,176281635481.3416,0.0112229529952561,-0.3067985230822386,0.0113280718870776,0.0213348161150894,0.0598489826649252,0.0670758190107659,-0.1522890281241128,-0.0629577698010074,-0.015844917997058
2019-07-26,9882.43,9890.05,9668.52,9847.45,31960.31,312717110.04,17839958.5449724,175678099773.68848,-0.0035458945164754,-0.231498271612669,-0.0034295758222502,0.0221879682990753,0.0380803916995712,0.0643162765408053,0.0392098757791066,-0.4521249376812363,-0.042010873016959
2019-07-27,9847.45,10202.95,9310.47,9478.32,53081.42,512612117.07,17841858.5449724,169110844683.98282,-0.0382054530466239,0.5073321407029565,-0.0380989562279776,0.0244308935486044,0.0392129466433354,0.0591719721836046,0.0962982870247792,0.0293074676839484,-0.0833647466571426
2019-07-28,9478.32,9591.52,9135.64,9531.77,28313.55,267243770.14,17844046.0449724,170085342770.08658,0.0056233443239448,-0.6284864725302243,0.0057459417487753,0.0192248149590342,0.0213846176163866,0.0556320642340216,-0.2396465701472123,-0.6063351031899485,-0.0616882570475278
